cable_id,type,length_m,a_rack,a_device,a_termination,b_rack,b_device,b_termination,reach_check
932,cat6a,30.0,C01,dgx-c01-01,bmc,M01,oob-01,eth1,
276,mmf-om4,25.0,C01,dgx-c01-01,ib-rail0,N01,leaf-01,port1,ok
277,mmf-om4,25.0,C01,dgx-c01-01,ib-rail1,N01,leaf-02,port1,ok
278,mmf-om4,25.0,C01,dgx-c01-01,ib-rail2,N01,leaf-03,port1,ok
279,mmf-om4,25.0,C01,dgx-c01-01,ib-rail3,N01,leaf-04,port1,ok
280,mmf-om4,25.0,C01,dgx-c01-01,ib-rail4,N02,leaf-05,port1,ok
281,mmf-om4,25.0,C01,dgx-c01-01,ib-rail5,N02,leaf-06,port1,ok
282,mmf-om4,25.0,C01,dgx-c01-01,ib-rail6,N02,leaf-07,port1,ok
283,mmf-om4,25.0,C01,dgx-c01-01,ib-rail7,N02,leaf-08,port1,ok
788,mmf-om4,20.0,C01,dgx-c01-01,ib-storage0,S01,stor-fabric-01,port1,ok
789,mmf-om4,20.0,C01,dgx-c01-01,ib-storage1,S01,stor-fabric-02,port1,ok
860,mmf-om4,20.0,C01,dgx-c01-01,inband0,M01,inband-01,eth1,ok
861,mmf-om4,20.0,C01,dgx-c01-01,inband1,M01,inband-02,eth1,ok
5,,,C01,dgx-c01-01,psu1,C01,pdu-c01-a,outlet1,
6,,,C01,dgx-c01-01,psu2,C01,pdu-c01-a,outlet2,
9,,,C01,dgx-c01-01,psu3,C01,pdu-c01-b,outlet1,
10,,,C01,dgx-c01-01,psu4,C01,pdu-c01-b,outlet2,
11,,,C01,dgx-c01-01,psu5,C01,pdu-c01-c,outlet1,
12,,,C01,dgx-c01-01,psu6,C01,pdu-c01-c,outlet2,
933,cat6a,30.0,C01,dgx-c01-02,bmc,M01,oob-01,eth2,
284,mmf-om4,25.0,C01,dgx-c01-02,ib-rail0,N01,leaf-01,port2,ok
285,mmf-om4,25.0,C01,dgx-c01-02,ib-rail1,N01,leaf-02,port2,ok
286,mmf-om4,25.0,C01,dgx-c01-02,ib-rail2,N01,leaf-03,port2,ok
287,mmf-om4,25.0,C01,dgx-c01-02,ib-rail3,N01,leaf-04,port2,ok
288,mmf-om4,25.0,C01,dgx-c01-02,ib-rail4,N02,leaf-05,port2,ok
289,mmf-om4,25.0,C01,dgx-c01-02,ib-rail5,N02,leaf-06,port2,ok
290,mmf-om4,25.0,C01,dgx-c01-02,ib-rail6,N02,leaf-07,port2,ok
291,mmf-om4,25.0,C01,dgx-c01-02,ib-rail7,N02,leaf-08,port2,ok
790,mmf-om4,20.0,C01,dgx-c01-02,ib-storage0,S01,stor-fabric-01,port2,ok
791,mmf-om4,20.0,C01,dgx-c01-02,ib-storage1,S01,stor-fabric-02,port2,ok
862,mmf-om4,20.0,C01,dgx-c01-02,inband0,M01,inband-01,eth2,ok
863,mmf-om4,20.0,C01,dgx-c01-02,inband1,M01,inband-02,eth2,ok
934,cat6a,30.0,C01,dgx-c01-03,bmc,M01,oob-01,eth3,
292,mmf-om4,25.0,C01,dgx-c01-03,ib-rail0,N01,leaf-01,port3,ok
293,mmf-om4,25.0,C01,dgx-c01-03,ib-rail1,N01,leaf-02,port3,ok
294,mmf-om4,25.0,C01,dgx-c01-03,ib-rail2,N01,leaf-03,port3,ok
295,mmf-om4,25.0,C01,dgx-c01-03,ib-rail3,N01,leaf-04,port3,ok
296,mmf-om4,25.0,C01,dgx-c01-03,ib-rail4,N02,leaf-05,port3,ok
297,mmf-om4,25.0,C01,dgx-c01-03,ib-rail5,N02,leaf-06,port3,ok
298,mmf-om4,25.0,C01,dgx-c01-03,ib-rail6,N02,leaf-07,port3,ok
299,mmf-om4,25.0,C01,dgx-c01-03,ib-rail7,N02,leaf-08,port3,ok
792,mmf-om4,20.0,C01,dgx-c01-03,ib-storage0,S01,stor-fabric-01,port3,ok
793,mmf-om4,20.0,C01,dgx-c01-03,ib-storage1,S01,stor-fabric-02,port3,ok
864,mmf-om4,20.0,C01,dgx-c01-03,inband0,M01,inband-01,eth3,ok
865,mmf-om4,20.0,C01,dgx-c01-03,inband1,M01,inband-02,eth3,ok
935,cat6a,30.0,C01,dgx-c01-04,bmc,M01,oob-01,eth4,
300,mmf-om4,25.0,C01,dgx-c01-04,ib-rail0,N01,leaf-01,port4,ok
301,mmf-om4,25.0,C01,dgx-c01-04,ib-rail1,N01,leaf-02,port4,ok
302,mmf-om4,25.0,C01,dgx-c01-04,ib-rail2,N01,leaf-03,port4,ok
303,mmf-om4,25.0,C01,dgx-c01-04,ib-rail3,N01,leaf-04,port4,ok
304,mmf-om4,25.0,C01,dgx-c01-04,ib-rail4,N02,leaf-05,port4,ok
305,mmf-om4,25.0,C01,dgx-c01-04,ib-rail5,N02,leaf-06,port4,ok
306,mmf-om4,25.0,C01,dgx-c01-04,ib-rail6,N02,leaf-07,port4,ok
307,mmf-om4,25.0,C01,dgx-c01-04,ib-rail7,N02,leaf-08,port4,ok
794,mmf-om4,20.0,C01,dgx-c01-04,ib-storage0,S01,stor-fabric-01,port4,ok
795,mmf-om4,20.0,C01,dgx-c01-04,ib-storage1,S01,stor-fabric-02,port4,ok
866,mmf-om4,20.0,C01,dgx-c01-04,inband0,M01,inband-01,eth4,ok
867,mmf-om4,20.0,C01,dgx-c01-04,inband1,M01,inband-02,eth4,ok
1,,,C01,pdu-c01-a,input,C01,(power feed),C01-A,
13,power,,C01,pdu-c01-a,outlet3,C01,dgx-c01-02,psu1,
14,power,,C01,pdu-c01-a,outlet4,C01,dgx-c01-02,psu2,
19,power,,C01,pdu-c01-a,outlet5,C01,dgx-c01-03,psu1,
20,power,,C01,pdu-c01-a,outlet6,C01,dgx-c01-03,psu2,
25,power,,C01,pdu-c01-a,outlet7,C01,dgx-c01-04,psu1,
26,power,,C01,pdu-c01-a,outlet8,C01,dgx-c01-04,psu2,
2,,,C01,pdu-c01-b,input,C01,(power feed),C01-B,
15,power,,C01,pdu-c01-b,outlet3,C01,dgx-c01-02,psu3,
16,power,,C01,pdu-c01-b,outlet4,C01,dgx-c01-02,psu4,
21,power,,C01,pdu-c01-b,outlet5,C01,dgx-c01-03,psu3,
22,power,,C01,pdu-c01-b,outlet6,C01,dgx-c01-03,psu4,
27,power,,C01,pdu-c01-b,outlet7,C01,dgx-c01-04,psu3,
28,power,,C01,pdu-c01-b,outlet8,C01,dgx-c01-04,psu4,
3,,,C01,pdu-c01-c,input,C01,(power feed),C01-C,
17,power,,C01,pdu-c01-c,outlet3,C01,dgx-c01-02,psu5,
18,power,,C01,pdu-c01-c,outlet4,C01,dgx-c01-02,psu6,
23,power,,C01,pdu-c01-c,outlet5,C01,dgx-c01-03,psu5,
24,power,,C01,pdu-c01-c,outlet6,C01,dgx-c01-03,psu6,
29,power,,C01,pdu-c01-c,outlet7,C01,dgx-c01-04,psu5,
30,power,,C01,pdu-c01-c,outlet8,C01,dgx-c01-04,psu6,
31,power,,C02,(power feed),C02-A,C02,pdu-c02-a,input,
32,power,,C02,(power feed),C02-B,C02,pdu-c02-b,input,
33,power,,C02,(power feed),C02-C,C02,pdu-c02-c,input,
936,cat6a,30.0,C02,dgx-c02-01,bmc,M01,oob-01,eth5,
308,mmf-om4,25.0,C02,dgx-c02-01,ib-rail0,N01,leaf-01,port5,ok
309,mmf-om4,25.0,C02,dgx-c02-01,ib-rail1,N01,leaf-02,port5,ok
310,mmf-om4,25.0,C02,dgx-c02-01,ib-rail2,N01,leaf-03,port5,ok
311,mmf-om4,25.0,C02,dgx-c02-01,ib-rail3,N01,leaf-04,port5,ok
312,mmf-om4,25.0,C02,dgx-c02-01,ib-rail4,N02,leaf-05,port5,ok
313,mmf-om4,25.0,C02,dgx-c02-01,ib-rail5,N02,leaf-06,port5,ok
