site,cable_id,type,length_m,a_rack,a_device,a_termination,b_rack,b_device,b_termination,reach_check
Reference Pod 2,974,power,,G01,(power feed),G01-1,G01,psh-g01-1,input,
Reference Pod 2,975,power,,G01,(power feed),G01-2,G01,psh-g01-2,input,
Reference Pod 2,976,power,,G01,(power feed),G01-3,G01,psh-g01-3,input,
Reference Pod 2,977,power,,G01,(power feed),G01-4,G01,psh-g01-4,input,
Reference Pod 2,978,power,,G01,(power feed),G01-5,G01,psh-g01-5,input,
Reference Pod 2,979,power,,G01,(power feed),G01-6,G01,psh-g01-6,input,
Reference Pod 2,980,power,,G01,(power feed),G01-7,G01,psh-g01-7,input,
Reference Pod 2,981,power,,G01,(power feed),G01-8,G01,psh-g01-8,input,
Reference Pod 2,1318,power,,G01,busbar-g01,tray1,G01,ct-g01-01,dc-in,
Reference Pod 2,1328,power,,G01,busbar-g01,tray10,G01,ct-g01-11,dc-in,
Reference Pod 2,1336,power,,G01,busbar-g01,tray11,G01,nvs-g01-01,dc-in,
Reference Pod 2,1342,power,,G01,busbar-g01,tray12,G01,nvs-g01-07,dc-in,
Reference Pod 2,1321,power,,G01,busbar-g01,tray13,G01,ct-g01-04,dc-in,
Reference Pod 2,1329,power,,G01,busbar-g01,tray14,G01,ct-g01-12,dc-in,
Reference Pod 2,1337,power,,G01,busbar-g01,tray15,G01,nvs-g01-02,dc-in,
Reference Pod 2,1343,power,,G01,busbar-g01,tray16,G01,nvs-g01-08,dc-in,
Reference Pod 2,1322,power,,G01,busbar-g01,tray17,G01,ct-g01-05,dc-in,
Reference Pod 2,1330,power,,G01,busbar-g01,tray18,G01,ct-g01-13,dc-in,
Reference Pod 2,1338,power,,G01,busbar-g01,tray19,G01,nvs-g01-03,dc-in,
Reference Pod 2,1326,power,,G01,busbar-g01,tray2,G01,ct-g01-09,dc-in,
Reference Pod 2,1344,power,,G01,busbar-g01,tray20,G01,nvs-g01-09,dc-in,
Reference Pod 2,1323,power,,G01,busbar-g01,tray21,G01,ct-g01-06,dc-in,
Reference Pod 2,1331,power,,G01,busbar-g01,tray22,G01,ct-g01-14,dc-in,
Reference Pod 2,1339,power,,G01,busbar-g01,tray23,G01,nvs-g01-04,dc-in,
Reference Pod 2,1324,power,,G01,busbar-g01,tray25,G01,ct-g01-07,dc-in,
Reference Pod 2,1332,power,,G01,busbar-g01,tray26,G01,ct-g01-15,dc-in,
Reference Pod 2,1340,power,,G01,busbar-g01,tray27,G01,nvs-g01-05,dc-in,
Reference Pod 2,1325,power,,G01,busbar-g01,tray29,G01,ct-g01-08,dc-in,
Reference Pod 2,1334,power,,G01,busbar-g01,tray3,G01,ct-g01-17,dc-in,
Reference Pod 2,1333,power,,G01,busbar-g01,tray30,G01,ct-g01-16,dc-in,
Reference Pod 2,1341,power,,G01,busbar-g01,tray31,G01,nvs-g01-06,dc-in,
Reference Pod 2,1319,power,,G01,busbar-g01,tray5,G01,ct-g01-02,dc-in,
Reference Pod 2,1327,power,,G01,busbar-g01,tray6,G01,ct-g01-10,dc-in,
Reference Pod 2,1335,power,,G01,busbar-g01,tray7,G01,ct-g01-18,dc-in,
Reference Pod 2,1320,power,,G01,busbar-g01,tray9,G01,ct-g01-03,dc-in,
Reference Pod 2,982,power,,G01,psh-g01-1,dc-out,G01,busbar-g01,shelf1,
Reference Pod 2,983,power,,G01,psh-g01-2,dc-out,G01,busbar-g01,shelf2,
Reference Pod 2,984,power,,G01,psh-g01-3,dc-out,G01,busbar-g01,shelf3,
Reference Pod 2,985,power,,G01,psh-g01-4,dc-out,G01,busbar-g01,shelf4,
Reference Pod 2,986,power,,G01,psh-g01-5,dc-out,G01,busbar-g01,shelf5,
Reference Pod 2,987,power,,G01,psh-g01-6,dc-out,G01,busbar-g01,shelf6,
Reference Pod 2,988,power,,G01,psh-g01-7,dc-out,G01,busbar-g01,shelf7,
Reference Pod 2,989,power,,G01,psh-g01-8,dc-out,G01,busbar-g01,shelf8,
Reference Pod 2,1017,power,,G02,(power feed),G02-1,G02,psh-g02-1,input,
Reference Pod 2,1018,power,,G02,(power feed),G02-2,G02,psh-g02-2,input,
Reference Pod 2,1019,power,,G02,(power feed),G02-3,G02,psh-g02-3,input,
Reference Pod 2,1020,power,,G02,(power feed),G02-4,G02,psh-g02-4,input,
Reference Pod 2,1021,power,,G02,(power feed),G02-5,G02,psh-g02-5,input,
Reference Pod 2,1022,power,,G02,(power feed),G02-6,G02,psh-g02-6,input,
Reference Pod 2,1023,power,,G02,(power feed),G02-7,G02,psh-g02-7,input,
Reference Pod 2,1024,power,,G02,(power feed),G02-8,G02,psh-g02-8,input,
Reference Pod 2,1345,power,,G02,busbar-g02,tray1,G02,ct-g02-01,dc-in,
Reference Pod 2,1355,power,,G02,busbar-g02,tray10,G02,ct-g02-11,dc-in,
Reference Pod 2,1363,power,,G02,busbar-g02,tray11,G02,nvs-g02-01,dc-in,
Reference Pod 2,1369,power,,G02,busbar-g02,tray12,G02,nvs-g02-07,dc-in,
Reference Pod 2,1348,power,,G02,busbar-g02,tray13,G02,ct-g02-04,dc-in,
Reference Pod 2,1356,power,,G02,busbar-g02,tray14,G02,ct-g02-12,dc-in,
Reference Pod 2,1364,power,,G02,busbar-g02,tray15,G02,nvs-g02-02,dc-in,
Reference Pod 2,1370,power,,G02,busbar-g02,tray16,G02,nvs-g02-08,dc-in,
Reference Pod 2,1349,power,,G02,busbar-g02,tray17,G02,ct-g02-05,dc-in,
Reference Pod 2,1357,power,,G02,busbar-g02,tray18,G02,ct-g02-13,dc-in,
Reference Pod 2,1365,power,,G02,busbar-g02,tray19,G02,nvs-g02-03,dc-in,
Reference Pod 2,1353,power,,G02,busbar-g02,tray2,G02,ct-g02-09,dc-in,
Reference Pod 2,1371,power,,G02,busbar-g02,tray20,G02,nvs-g02-09,dc-in,
Reference Pod 2,1350,power,,G02,busbar-g02,tray21,G02,ct-g02-06,dc-in,
Reference Pod 2,1358,power,,G02,busbar-g02,tray22,G02,ct-g02-14,dc-in,
Reference Pod 2,1366,power,,G02,busbar-g02,tray23,G02,nvs-g02-04,dc-in,
