site,cable_id,type,length_m,a_rack,a_device,a_termination,b_rack,b_device,b_termination,reach_check
Reference Pod 1,932,cat6a,30.0,C01,dgx-c01-01,bmc,M01,oob-01,eth1,
Reference Pod 1,276,mmf-om4,25.0,C01,dgx-c01-01,ib-rail0,N01,leaf-01,port1,ok
Reference Pod 1,277,mmf-om4,25.0,C01,dgx-c01-01,ib-rail1,N01,leaf-02,port1,ok
Reference Pod 1,278,mmf-om4,25.0,C01,dgx-c01-01,ib-rail2,N01,leaf-03,port1,ok
Reference Pod 1,279,mmf-om4,25.0,C01,dgx-c01-01,ib-rail3,N01,leaf-04,port1,ok
Reference Pod 1,280,mmf-om4,25.0,C01,dgx-c01-01,ib-rail4,N02,leaf-05,port1,ok
Reference Pod 1,281,mmf-om4,25.0,C01,dgx-c01-01,ib-rail5,N02,leaf-06,port1,ok
Reference Pod 1,282,mmf-om4,25.0,C01,dgx-c01-01,ib-rail6,N02,leaf-07,port1,ok
Reference Pod 1,283,mmf-om4,25.0,C01,dgx-c01-01,ib-rail7,N02,leaf-08,port1,ok
Reference Pod 1,788,mmf-om4,20.0,C01,dgx-c01-01,ib-storage0,S01,stor-fabric-01,port1,ok
Reference Pod 1,789,mmf-om4,20.0,C01,dgx-c01-01,ib-storage1,S01,stor-fabric-02,port1,ok
Reference Pod 1,860,mmf-om4,20.0,C01,dgx-c01-01,inband0,M01,inband-01,eth1,ok
Reference Pod 1,861,mmf-om4,20.0,C01,dgx-c01-01,inband1,M01,inband-02,eth1,ok
Reference Pod 1,5,,,C01,dgx-c01-01,psu1,C01,pdu-c01-a,outlet1,
Reference Pod 1,6,,,C01,dgx-c01-01,psu2,C01,pdu-c01-a,outlet2,
Reference Pod 1,9,,,C01,dgx-c01-01,psu3,C01,pdu-c01-b,outlet1,
Reference Pod 1,10,,,C01,dgx-c01-01,psu4,C01,pdu-c01-b,outlet2,
Reference Pod 1,11,,,C01,dgx-c01-01,psu5,C01,pdu-c01-c,outlet1,
Reference Pod 1,12,,,C01,dgx-c01-01,psu6,C01,pdu-c01-c,outlet2,
Reference Pod 1,933,cat6a,30.0,C01,dgx-c01-02,bmc,M01,oob-01,eth2,
Reference Pod 1,284,mmf-om4,25.0,C01,dgx-c01-02,ib-rail0,N01,leaf-01,port2,ok
Reference Pod 1,285,mmf-om4,25.0,C01,dgx-c01-02,ib-rail1,N01,leaf-02,port2,ok
Reference Pod 1,286,mmf-om4,25.0,C01,dgx-c01-02,ib-rail2,N01,leaf-03,port2,ok
Reference Pod 1,287,mmf-om4,25.0,C01,dgx-c01-02,ib-rail3,N01,leaf-04,port2,ok
Reference Pod 1,288,mmf-om4,25.0,C01,dgx-c01-02,ib-rail4,N02,leaf-05,port2,ok
Reference Pod 1,289,mmf-om4,25.0,C01,dgx-c01-02,ib-rail5,N02,leaf-06,port2,ok
Reference Pod 1,290,mmf-om4,25.0,C01,dgx-c01-02,ib-rail6,N02,leaf-07,port2,ok
Reference Pod 1,291,mmf-om4,25.0,C01,dgx-c01-02,ib-rail7,N02,leaf-08,port2,ok
Reference Pod 1,790,mmf-om4,20.0,C01,dgx-c01-02,ib-storage0,S01,stor-fabric-01,port2,ok
Reference Pod 1,791,mmf-om4,20.0,C01,dgx-c01-02,ib-storage1,S01,stor-fabric-02,port2,ok
Reference Pod 1,862,mmf-om4,20.0,C01,dgx-c01-02,inband0,M01,inband-01,eth2,ok
Reference Pod 1,863,mmf-om4,20.0,C01,dgx-c01-02,inband1,M01,inband-02,eth2,ok
Reference Pod 1,934,cat6a,30.0,C01,dgx-c01-03,bmc,M01,oob-01,eth3,
Reference Pod 1,292,mmf-om4,25.0,C01,dgx-c01-03,ib-rail0,N01,leaf-01,port3,ok
Reference Pod 1,293,mmf-om4,25.0,C01,dgx-c01-03,ib-rail1,N01,leaf-02,port3,ok
Reference Pod 1,294,mmf-om4,25.0,C01,dgx-c01-03,ib-rail2,N01,leaf-03,port3,ok
Reference Pod 1,295,mmf-om4,25.0,C01,dgx-c01-03,ib-rail3,N01,leaf-04,port3,ok
Reference Pod 1,296,mmf-om4,25.0,C01,dgx-c01-03,ib-rail4,N02,leaf-05,port3,ok
Reference Pod 1,297,mmf-om4,25.0,C01,dgx-c01-03,ib-rail5,N02,leaf-06,port3,ok
Reference Pod 1,298,mmf-om4,25.0,C01,dgx-c01-03,ib-rail6,N02,leaf-07,port3,ok
Reference Pod 1,299,mmf-om4,25.0,C01,dgx-c01-03,ib-rail7,N02,leaf-08,port3,ok
Reference Pod 1,792,mmf-om4,20.0,C01,dgx-c01-03,ib-storage0,S01,stor-fabric-01,port3,ok
Reference Pod 1,793,mmf-om4,20.0,C01,dgx-c01-03,ib-storage1,S01,stor-fabric-02,port3,ok
Reference Pod 1,864,mmf-om4,20.0,C01,dgx-c01-03,inband0,M01,inband-01,eth3,ok
Reference Pod 1,865,mmf-om4,20.0,C01,dgx-c01-03,inband1,M01,inband-02,eth3,ok
Reference Pod 1,935,cat6a,30.0,C01,dgx-c01-04,bmc,M01,oob-01,eth4,
Reference Pod 1,300,mmf-om4,25.0,C01,dgx-c01-04,ib-rail0,N01,leaf-01,port4,ok
Reference Pod 1,301,mmf-om4,25.0,C01,dgx-c01-04,ib-rail1,N01,leaf-02,port4,ok
Reference Pod 1,302,mmf-om4,25.0,C01,dgx-c01-04,ib-rail2,N01,leaf-03,port4,ok
Reference Pod 1,303,mmf-om4,25.0,C01,dgx-c01-04,ib-rail3,N01,leaf-04,port4,ok
Reference Pod 1,304,mmf-om4,25.0,C01,dgx-c01-04,ib-rail4,N02,leaf-05,port4,ok
Reference Pod 1,305,mmf-om4,25.0,C01,dgx-c01-04,ib-rail5,N02,leaf-06,port4,ok
Reference Pod 1,306,mmf-om4,25.0,C01,dgx-c01-04,ib-rail6,N02,leaf-07,port4,ok
Reference Pod 1,307,mmf-om4,25.0,C01,dgx-c01-04,ib-rail7,N02,leaf-08,port4,ok
Reference Pod 1,794,mmf-om4,20.0,C01,dgx-c01-04,ib-storage0,S01,stor-fabric-01,port4,ok
Reference Pod 1,795,mmf-om4,20.0,C01,dgx-c01-04,ib-storage1,S01,stor-fabric-02,port4,ok
Reference Pod 1,866,mmf-om4,20.0,C01,dgx-c01-04,inband0,M01,inband-01,eth4,ok
Reference Pod 1,867,mmf-om4,20.0,C01,dgx-c01-04,inband1,M01,inband-02,eth4,ok
Reference Pod 1,1,,,C01,pdu-c01-a,input,C01,(power feed),C01-A,
Reference Pod 1,13,power,,C01,pdu-c01-a,outlet3,C01,dgx-c01-02,psu1,
Reference Pod 1,14,power,,C01,pdu-c01-a,outlet4,C01,dgx-c01-02,psu2,
Reference Pod 1,19,power,,C01,pdu-c01-a,outlet5,C01,dgx-c01-03,psu1,
Reference Pod 1,20,power,,C01,pdu-c01-a,outlet6,C01,dgx-c01-03,psu2,
Reference Pod 1,25,power,,C01,pdu-c01-a,outlet7,C01,dgx-c01-04,psu1,
Reference Pod 1,26,power,,C01,pdu-c01-a,outlet8,C01,dgx-c01-04,psu2,
Reference Pod 1,2,,,C01,pdu-c01-b,input,C01,(power feed),C01-B,
Reference Pod 1,15,power,,C01,pdu-c01-b,outlet3,C01,dgx-c01-02,psu3,
Reference Pod 1,16,power,,C01,pdu-c01-b,outlet4,C01,dgx-c01-02,psu4,
Reference Pod 1,21,power,,C01,pdu-c01-b,outlet5,C01,dgx-c01-03,psu3,
Reference Pod 1,22,power,,C01,pdu-c01-b,outlet6,C01,dgx-c01-03,psu4,
Reference Pod 1,27,power,,C01,pdu-c01-b,outlet7,C01,dgx-c01-04,psu3,
Reference Pod 1,28,power,,C01,pdu-c01-b,outlet8,C01,dgx-c01-04,psu4,
Reference Pod 1,3,,,C01,pdu-c01-c,input,C01,(power feed),C01-C,
Reference Pod 1,17,power,,C01,pdu-c01-c,outlet3,C01,dgx-c01-02,psu5,
Reference Pod 1,18,power,,C01,pdu-c01-c,outlet4,C01,dgx-c01-02,psu6,
Reference Pod 1,23,power,,C01,pdu-c01-c,outlet5,C01,dgx-c01-03,psu5,
Reference Pod 1,24,power,,C01,pdu-c01-c,outlet6,C01,dgx-c01-03,psu6,
Reference Pod 1,29,power,,C01,pdu-c01-c,outlet7,C01,dgx-c01-04,psu5,
Reference Pod 1,30,power,,C01,pdu-c01-c,outlet8,C01,dgx-c01-04,psu6,
Reference Pod 1,31,power,,C02,(power feed),C02-A,C02,pdu-c02-a,input,
Reference Pod 1,32,power,,C02,(power feed),C02-B,C02,pdu-c02-b,input,
Reference Pod 1,33,power,,C02,(power feed),C02-C,C02,pdu-c02-c,input,
Reference Pod 1,936,cat6a,30.0,C02,dgx-c02-01,bmc,M01,oob-01,eth5,
Reference Pod 1,308,mmf-om4,25.0,C02,dgx-c02-01,ib-rail0,N01,leaf-01,port5,ok
Reference Pod 1,309,mmf-om4,25.0,C02,dgx-c02-01,ib-rail1,N01,leaf-02,port5,ok
Reference Pod 1,310,mmf-om4,25.0,C02,dgx-c02-01,ib-rail2,N01,leaf-03,port5,ok
Reference Pod 1,311,mmf-om4,25.0,C02,dgx-c02-01,ib-rail3,N01,leaf-04,port5,ok
Reference Pod 1,312,mmf-om4,25.0,C02,dgx-c02-01,ib-rail4,N02,leaf-05,port5,ok
Reference Pod 1,313,mmf-om4,25.0,C02,dgx-c02-01,ib-rail5,N02,leaf-06,port5,ok
Reference Pod 1,314,mmf-om4,25.0,C02,dgx-c02-01,ib-rail6,N02,leaf-07,port5,ok
Reference Pod 1,315,mmf-om4,25.0,C02,dgx-c02-01,ib-rail7,N02,leaf-08,port5,ok
Reference Pod 1,796,mmf-om4,20.0,C02,dgx-c02-01,ib-storage0,S01,stor-fabric-01,port5,ok
Reference Pod 1,797,mmf-om4,20.0,C02,dgx-c02-01,ib-storage1,S01,stor-fabric-02,port5,ok
Reference Pod 1,868,mmf-om4,20.0,C02,dgx-c02-01,inband0,M01,inband-01,eth5,ok
Reference Pod 1,869,mmf-om4,20.0,C02,dgx-c02-01,inband1,M01,inband-02,eth5,ok
Reference Pod 1,937,cat6a,30.0,C02,dgx-c02-02,bmc,M01,oob-01,eth6,
Reference Pod 1,316,mmf-om4,25.0,C02,dgx-c02-02,ib-rail0,N01,leaf-01,port6,ok
Reference Pod 1,317,mmf-om4,25.0,C02,dgx-c02-02,ib-rail1,N01,leaf-02,port6,ok
Reference Pod 1,318,mmf-om4,25.0,C02,dgx-c02-02,ib-rail2,N01,leaf-03,port6,ok
Reference Pod 1,319,mmf-om4,25.0,C02,dgx-c02-02,ib-rail3,N01,leaf-04,port6,ok
Reference Pod 1,320,mmf-om4,25.0,C02,dgx-c02-02,ib-rail4,N02,leaf-05,port6,ok
Reference Pod 1,321,mmf-om4,25.0,C02,dgx-c02-02,ib-rail5,N02,leaf-06,port6,ok
Reference Pod 1,322,mmf-om4,25.0,C02,dgx-c02-02,ib-rail6,N02,leaf-07,port6,ok
Reference Pod 1,323,mmf-om4,25.0,C02,dgx-c02-02,ib-rail7,N02,leaf-08,port6,ok
Reference Pod 1,798,mmf-om4,20.0,C02,dgx-c02-02,ib-storage0,S01,stor-fabric-01,port6,ok
Reference Pod 1,799,mmf-om4,20.0,C02,dgx-c02-02,ib-storage1,S01,stor-fabric-02,port6,ok
Reference Pod 1,870,mmf-om4,20.0,C02,dgx-c02-02,inband0,M01,inband-01,eth6,ok
Reference Pod 1,871,mmf-om4,20.0,C02,dgx-c02-02,inband1,M01,inband-02,eth6,ok
Reference Pod 1,938,cat6a,30.0,C02,dgx-c02-03,bmc,M01,oob-01,eth7,
Reference Pod 1,324,mmf-om4,25.0,C02,dgx-c02-03,ib-rail0,N01,leaf-01,port7,ok
Reference Pod 1,325,mmf-om4,25.0,C02,dgx-c02-03,ib-rail1,N01,leaf-02,port7,ok
Reference Pod 1,326,mmf-om4,25.0,C02,dgx-c02-03,ib-rail2,N01,leaf-03,port7,ok
Reference Pod 1,327,mmf-om4,25.0,C02,dgx-c02-03,ib-rail3,N01,leaf-04,port7,ok
Reference Pod 1,328,mmf-om4,25.0,C02,dgx-c02-03,ib-rail4,N02,leaf-05,port7,ok
Reference Pod 1,329,mmf-om4,25.0,C02,dgx-c02-03,ib-rail5,N02,leaf-06,port7,ok
Reference Pod 1,330,mmf-om4,25.0,C02,dgx-c02-03,ib-rail6,N02,leaf-07,port7,ok
Reference Pod 1,331,mmf-om4,25.0,C02,dgx-c02-03,ib-rail7,N02,leaf-08,port7,ok
Reference Pod 1,800,mmf-om4,20.0,C02,dgx-c02-03,ib-storage0,S01,stor-fabric-01,port7,ok
Reference Pod 1,801,mmf-om4,20.0,C02,dgx-c02-03,ib-storage1,S01,stor-fabric-02,port7,ok
Reference Pod 1,872,mmf-om4,20.0,C02,dgx-c02-03,inband0,M01,inband-01,eth7,ok
Reference Pod 1,873,mmf-om4,20.0,C02,dgx-c02-03,inband1,M01,inband-02,eth7,ok
