rack,role,devices,u_used,u_total,feeds,feed_capacity_va,allocated_w,per_feed_w,util_pct,n1_per_feed_w,n1_util_pct,n1_ok
C01,Compute,4,32.0,48,3,34501,40800,13600,39.4,20400,59.1,PASS
C02,Compute,4,32.0,48,3,34501,40800,13600,39.4,20400,59.1,PASS
C03,Compute,4,32.0,48,3,34501,40800,13600,39.4,20400,59.1,PASS
C04,Compute,4,32.0,48,3,34501,40800,13600,39.4,20400,59.1,PASS
C05,Compute,4,32.0,48,3,34501,40800,13600,39.4,20400,59.1,PASS
C06,Compute,4,32.0,48,3,34501,40800,13600,39.4,20400,59.1,PASS
C07,Compute,4,32.0,48,3,34501,40800,13600,39.4,20400,59.1,PASS
C08,Compute,4,32.0,48,3,34501,40800,13600,39.4,20400,59.1,PASS
M01,Management,4,6.0,48,3,34501,1128,376,1.1,564,1.6,PASS
N01,Network,6,6.0,48,3,34501,10320,3440,10.0,5160,15.0,PASS
N02,Network,6,6.0,48,3,34501,10320,3440,10.0,5160,15.0,PASS
S01,Storage,6,10.0,48,3,34501,9840,3280,9.5,4920,14.3,PASS
POD TOTAL,,54,284.0,576,36,,358008,,,,,PASS
